작품명,등급,좋아요,평점,장르,댓글수 평균,1화 댓글수,성공
마녀사냥,1,99999,9.95,판타지,11764.6,7168,1
지금우리학교는,1,22800,9.5,스릴러,6842.2,16671,1
선천적 얼간이들,1,99999,9.98,개그,2390,3394,1
파도의 주인,1,94916,9.98,판타지,2278,4415,1
감염자,1,99999,9.95,스릴러,3961,4482,1
35cm,1,99999,9.5,순정,3716.2,5677,1
일진에게 회초리,1,99999,9.95,판타지,3130,4588,1
두근거려요,1,89551,9.96,순정,3693.8,5494,1
골방환상곡,1,4378,9.92,일상,3911.4,10821,1
트럼프,1,99999,9.97,판타지,17633.4,37848,1
우리들은 푸르다,1,99999,9.31,개그,5527.4,6912,1
여탕보고서,1,99999,9.95,개그,9554,10255,1
오민혁 단편선,2,57848,9.97,순정,3873.6,5386,1
뱀이 앉은 자리,2,99999,9.97,스릴러,3157.8,5019,1
펫다이어리,2,10417,9.95,일상,2283.2,4807,1
고교생을 환불해주세요,2,99999,9.98,판타지,2439.6,4703,1
늘 푸른 찻집,2,99999,9.96,순정,7134.6,15522,1
프린스의 왕자,2,99999,9.98,순정,6065.8,8766,1
마술사,2,99999,9.93,판타지,3443.6,9861,1
2호선 세입자,2,64366,9.9,일상,4882,9442,1
군인rpg,2,67976,9.76,개그,2985.2,6810,1
고민툰,2,34166,3.98,일상,13721.2,20214,1
탈(TAL),2,99999,9.94,판타지,7657,14941,1
서북의 저승사자,2,99999,9.98,판타지,3772.2,5737,1
이별만화 완성도,2,78845,9.85,일상,2769.4,5954,1
질풍기획 시즌1,2,12069,9.96,개그,5125.8,7611,1
그들에게 사면초가,2,99999,9.94,순정,3947.6,10614,1
격투기특성화사립고교 극지고,2,75430,9.78,액션,4741,9669,1
신령,2,99999,9.97,판타지,6672.4,12024,1
안 돼요 마왕님!,2,76385,9.96,순정,6469.2,10125,1
마이너스의 손,2,99999,9.96,액션,7825.4,8096,1
심심한 마왕,2,99999,9.86,개그,9681.8,13106,1
차원이 다른 만화,2,99999,9.95,개그,6334.8,10175,1
조선좀비실록,2,99999,9.85,스릴러,10643.2,17300,1
헬퍼,2,99999,9.95,액션,5877.4,12757,1
체스아일,2,154,9.86,판타지,2602.2,4203,1
혈액형에 관한 간단한 고찰,2,67348,9.89,일상,10390,13922,1
갸오오와 사랑꾼들,2,99999,9.94,개그,2389.6,3958,1
크리퍼스큘,2,99999,9.94,판타지,12361.2,21676,1
부부생활,2,99999,9.94,일상,3423,6550,1
레사(lessa),2,24254,9.95,액션,7621.4,15174,1
와탕카,2,288,9.62,개그,2634.8,6121,1
원 뿔러스 원,2,99999,9.97,판타지,7639.4,10847,1
뱀피르,2,37577,9.9,액션,2878.4,5173,1
시타를 위하여,2,66713,9.97,판타지,4522.8,6045,1
바로잡는 순애보,2,86978,9.94,판타지,5263,5284,1
소년들은 무엇을 하고 있을까,2,99999,9.41,개그,26296.4,41568,1
실질객관동화,2,12998,9.9,개그,4968.2,8527,1
플라스틱 걸,2,1213,9.9,일상,1988.4,1945,1
어서오세요. 305호에,2,24710,9.96,순정,3017.8,7269,1
아테나 콤플렉스,2,99999,9.87,판타지,4224,8891,1
불량 뱀파이어,2,234,9.16,판타지,1818.8,2088,1
새끼손가락,2,7173,9.93,일상,1504,2401,1
AA,2,104,9.68,순정,820.4,1399,1
대작,2,62763,9.93,스릴러,1849.2,3909,1
나는 귀머거리다,2,99999,9.98,일상,5094.6,7942,1
독신으로 살겠다,2,95225,9.67,일상,10448.6,9619,1
에피소드메이비,2,268,9.86,순정,764,1495,1
방백남녀,2,99924,9.92,일상,2196.4,4552,1
"OH, MY GOD",2,9910,9.94,액션,9841,18575,1
언더프린,2,75192,9.95,판타지,8478.4,18741,1
샌프란시스코 화랑관,2,79248,9.98,순정,2672.2,5111,1
향수,2,2794,9.93,스릴러,1446.8,2365,1
나의 짝사랑 고백법,2,86963,9.82,순정,1855.2,3907,1
연애학,2,92444,9.76,순정,3126,6730,1
기로,2,48275,9.87,판타지,1553.8,3347,1
나는 남 너는 녀,2,79696,9.68,판타지,5202.4,5780,1
스펙트럼 분석기,2,12628,9.8,개그,11030.6,16497,1
알게뭐야,2,99999,9.96,개그,5075.2,8154,1
파우스트 인 러브,2,75598,9.86,판타지,2441.6,3769,1
스쿨홀릭,2,9407,9.89,일상,3224.8,6456,1
드래곤레시피,3,42178,9.33,판타지,11535.6,14068,0
ㄹㅇ관종,3,43520,9.55,개그,4706,15187,0
아이들의 권선생님,3,24864,9.95,일상,6443.2,10748,0
오늘도 핸드메이드,3,99999,9.97,일상,6886.6,9571,0
우리집에 곰이 이사왔다,3,99999,9.97,개그,3526.8,6778,0
악연,3,4024,9.9,스릴러,3731,3192,0
프로젝트X,3,2981,9.89,스릴러,2664.8,5571,0
암흑도시,3,58093,9.93,개그,2584.3,3997,0
미호이야기,3,9320,9.96,판타지,3790.2,3968,0
우바우,3,91504,9.97,일상,2599.6,5402,0
방울토마토,3,18500,9.96,순정,6301.2,8972,0
일상날개짓,3,14473,9.94,일상,6095.6,9634,0
완벽하지 않은 키스,3,78623,9.94,판타지,2111.2,3517,0
위아더 능력자!,3,7712,9.93,개그,7322.4,9418,0
아는사람 이야기,3,25009,9.94,순정,4662.4,8667,0
아빠를 찾습니다,3,11822,9.86,순정,7132.6,12568,0
홍차리브레,3,82614,9.98,일상,3544,6030,0
플로우,3,99999,9.96,액션,12516.8,16149,0
엔드리스,3,56453,9.96,판타지,1398.6,3643,0
아스란영웅전,3,11832,9.94,판타지,2028.8,3698,0
황금의 핸드메이커,3,45866,9.93,액션,2440.3,3509,0
구름의 노래,3,4737,9.88,순정,3083.2,4513,0
팀 피닉스,3,79754,9.95,액션,2073.2,3679,0
펀브로커,3,42023,9.92,판타지,1272.4,2409,0
제로,3,53,9.77,판타지,394.4,565,0
바람이 머무는 난,3,59930,9.95,판타지,6135.6,11295,0
와장창창!자취맨,3,53949,9.95,개그,1022.2,1492,0
투명살인,3,152,9.9,스릴러,1213,2295,0
헬로 미스터 테디,3,33486,9.94,개그,5076.2,7751,0
꼬리,3,59085,9.97,스릴러,669.2,1266,0
1인용 기분,3,99999,9.97,순정,3386.6,5198,0
개판,3,7711,9.88,액션,2294.8,2920,0
동네변호사 조들호 시즌1,3,64082,9.94,순정,4673.8,6976,0
러브슬립,3,604,9.79,개그,5683.6,8779,0
섀도우,3,30371,9.96,판타지,3328.6,6956,0
간질간질,3,61080,9.22,일상,4038.6,6416,0
야! 오이,3,2847,9.92,개그,3828.8,3739,0
은하연인전,3,3368,9.76,판타지,2349,2724,0
달콤한 인생,3,23696,9.95,개그,2432.6,3477,0
고시생툰,3,7127,9.92,일상,2366,3405,0
노네임드,3,52694,9.96,스릴러,4232.4,7789,0
열대어,3,61013,9.94,개그,5154.6,7538,0
찬란하지 않아도 괜찮아,3,99999,9.98,순정,1175.8,3099,0
굿모닝 스페이스,3,3802,9.87,판타지,3705.6,5655,0
스마일브러시,3,1808,9.94,일상,1846.2,3000,0
기사도,3,4149,9.88,액션,8912.4,11297,0
거상 김만덕,3,193,9.89,순정,3810,2095.2,0
잉잉잉,3,2440,9.94,개그,3684.4,7238,0
알파,3,20818,8.51,액션,1056.6,2258,0
기태류,3,5160,9.89,판타지,1590.2,1588,0
카오스어택,3,12557,9.95,판타지,5078.8,8577,0
킬러 김빵빵,3,42956,9.82,개그,3190.6,8157,0
소년전[Limit],3,5341,9.73,판타지,5219,7000,0
커피우유신화,3,5709,9.93,판타지,1999.4,4908,0
Penguin loves Mev,3,99999,9.96,일상,3817.8,7974,0
까뱅,3,42,8.8,개그,567.2,948,0
수업시간그녀,3,11197,9.94,일상,4133.5,4434,0
꽃밭에솔,4,9069,9.95,일상,2924.2,5790,0
의령수,4,84,9.88,스릴러,978.6,904,0
반지의 제왕,4,30,5.26,판타지,1476,3932,0
LOST,4,3705,9.53,스릴러,1992.8,1354,0
네로의 실험실,4,6435,9.95,판타지,9884.6,15656,0
그녀는 흡!혈귀,4,24180,9.94,판타지,4035.2,7363,0
문아,4,52964,9.95,판타지,6015.4,10437,0
아이들은 즐겁다,4,37338,9.95,일상,6250.6,8930,0
새벽9시,4,1681,9.7,스릴러,3939.4,7391,0
봄이여 오라,4,4233,9.93,판타지,2443,5868,0
수학 잘하는 법,4,41613,9.91,순정,1512.2,3188,0
흐드러지다,4,1915,9.92,액션,1312.8,2530,0
인형의 기사,4,3753,9.94,액션,3698,4140,0
옆집화랑,4,4368,9.92,판타지,2229,1794.8,0
뜨거운 것이 좋아,4,3593,9.66,순정,1630.2,3422,0
심장이 뛰다,4,1539,9.93,순정,1722.6,3202,0
타투,4,87,9.19,판타지,649.6,2010,0
모두에게 완자가,4,67638,9.71,일상,15706.6,20827,0
블랙시저스,4,37619,9.95,액션,3172.2,6204,0
얼룩말,4,5389,9.96,일상,2606.4,5251,0
미선 임파서블,4,43086,9.92,개그,8161.2,6364,0
딥(DEEP),4,50057,9.95,스릴러,3596,1746,0
별의 유언,4,9627,9.96,판타지,2703.6,4755,0
오란씨100,4,1434,9.73,개그,1417.2,1704,0
창위의일루젼,4,47,9.18,판타지,804.4,1476,0
미숙한 친구는 G구인,4,5928,9.94,개그,4658.2,7321,0
가족사진,4,1967,9.84,스릴러,1283.2,2208,0
불만시대,4,55046,9.78,개그,3036.4,3329,0
미쳐 날뛰는 생활툰,4,27313,9.79,일상,3331.4,7674,0
피리부는 남자,4,16224,9.95,스릴러,4527.2,8576,0
고고루키루,4,18537,9.96,판타지,1946,3402,0
까치우는 날,4,62,9.77,순정,1822.2,4566,0
일사부재리,4,14506,9.93,스릴러,1972.8,2870,0
맛집남녀,4,3381,7.46,개그,6248,6796,0
사랑의 아쿠아리움,4,6993,9.95,개그,1962.8,4238,0
뱀파이어,4,43574,9.95,액션,4028.6,7471,0
연옥님이 보고계셔,4,1043,9.84,순정,320,684,0
열쇠줍는아이,4,1497,9.84,판타지,1043.2,1380,0
뷰티플 게임,4,28,9.58,일상,473.2,1131,0
MY OH,4,32968,9.96,순정,2782.2,8116,0
도자기,4,1773,9.79,일상,931.6,3218,0
버퍼링,4,24215,9.94,스릴러,2967.8,7247,0
시간의 섬,4,11852,9.8,판타지,2173.2,4436,0
콘스탄쯔 이야기,4,5078,9.93,일상,1437.2,2411,0
좀비를 위한 나라는 없다,4,7253,9.94,판타지,2142,3668,0
월남특급,4,2428,9.87,개그,1465.2,1489,0
묵회,4,1422,9.91,일상,1018.8,1402,0
동경소녀,4,466,9.67,일상,1102.8,1876,0
피터팬날다,4,24,8.82,개그,1563,2025,0
MODERN BOYS,4,1687,9.57,판타지,1108.8,1328,0
그런지,4,1680,9.88,일상,918,1800,0
길에서 만나다,4,3709,9.75,순정,1184.8,3401,0
